"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
100408.804688,57193.000000,115055.882812,72043.500000,31479.000000,149987.078125,44159.699219,1468.320068,832.580017,1.007409
75718.757812,42349.000000,117176.437500,46702.500000,25295.000000,121000.000000,42.880001,4543.280273,3032.400146,1.007409
74767.484375,45903.000000,106746.007812,41986.500000,22088.000000,124575.671875,50.920002,2475.130127,1061.340088,1.009211
7062.840332,7388.000000,62651.636719,519.000000,573.000000,59359.835938,0.000000,13.300000,-22.610001,1.009211
88723.882812,54708.000000,106284.429688,31915.500000,15359.000000,136181.687500,104.520004,1476.300049,448.210022,1.011013
71415.921875,39490.000000,118518.968750,27412.500000,13299.000000,135085.765625,26.800001,6796.300293,7711.340332,1.011013
94484.921875,43733.000000,141590.187500,114079.500000,41012.000000,182295.781250,65.660004,2637.390137,1034.739990,1.011013
51789.562500,32707.000000,103772.304688,51987.000000,23601.000000,144359.125000,69.680000,1542.800049,708.890015,1.011013
100556.000000,42748.000000,154160.156250,55321.500000,25138.000000,144225.875000,129.979996,4262.649902,1421.770020,1.012815
76309.398438,44320.000000,112838.742188,24250.500000,13440.000000,118250.054688,24.120001,1798.160034,735.490051,1.012815
71277.921875,36144.000000,129240.531250,35848.500000,15180.000000,154767.281250,92.459999,1932.490112,1173.060059,1.012815
89801.203125,44587.000000,131993.890625,44307.000000,20223.000000,143584.218750,97.820000,1364.580078,545.299988,1.012815
94585.203125,49713.000000,124690.445312,62637.000000,26461.000000,155133.171875,116.580002,2447.200195,927.010010,1.012815
124379.398438,63990.000000,127384.406250,63142.500000,27831.000000,148686.968750,2026.080078,2203.810059,665.000000,1.014618
75318.562500,49175.000000,100377.789062,42423.000000,22928.000000,121259.320312,134.000000,3086.930176,1089.270020,1.014618
79677.523438,42886.000000,121758.757812,92281.500000,34932.000000,173129.515625,154.100006,3116.190186,819.280029,1.014618
14474.360352,8672.000000,109385.570312,93447.000000,38515.000000,159006.687500,451.580017,1056.020020,477.470001,1.014618
89357.757812,44649.000000,131159.718750,53958.000000,25835.000000,136876.015625,112.560005,1666.490112,583.869995,1.016420
86301.523438,45267.000000,124944.359375,49314.000000,21203.000000,152423.812500,67.000000,3734.640137,1331.330078,1.016420
55415.281250,35963.000000,100984.226562,31510.500000,14510.000000,142320.625000,84.420006,1224.930054,337.820007,1.016420
64272.121094,39173.000000,107526.562500,46648.500000,18583.000000,164513.578125,103.180000,1851.360107,586.530029,1.016420
82692.359375,45930.000000,117991.000000,85254.000000,35997.000000,155213.125000,176.880005,6615.420410,4253.340332,1.016420
111400.960938,64297.000000,113547.664062,67558.500000,29427.000000,150457.531250,58.960003,2710.540039,1247.540039,1.016420
86197.562500,45790.000000,123368.500000,64047.000000,27448.000000,152921.312500,30.820002,2379.370117,719.530029,1.018222
17934.480469,12044.000000,97588.351562,101544.000000,54707.000000,121644.164062,242.540009,1058.680054,377.720001,1.018222
87969.484375,50479.000000,114209.234375,33025.500000,14044.000000,154112.734375,73.700005,2030.910034,942.970032,1.018222
139391.046875,68655.000000,133058.500000,94678.500000,50327.000000,123290.679688,17764.380859,2983.190186,1804.810059,1.020024
85192.921875,49463.000000,112876.359375,64918.500000,31887.000000,133424.265625,97.820000,3157.420166,912.380005,1.020024
103721.718750,48172.000000,141109.093750,68562.000000,24855.000000,180779.687500,73.700005,2443.209961,702.240051,1.020024
109949.203125,53683.000000,134225.578125,23932.500000,11873.000000,132101.437500,77.720001,1264.830078,509.390015,1.020024
72162.960938,37561.000000,125909.101562,30709.500000,18069.000000,111382.906250,56.280003,3116.190186,825.930054,1.020024
