"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
79988.484375,49776.000000,105314.312500,66246.000000,30624.000000,141767.828125,5187.140137,1433.739990,422.940002,1.142410
82574.601562,41632.000000,129986.773438,44410.500000,22203.000000,131085.281250,85.760002,1508.220093,465.500000,1.142410
144019.562500,64266.000000,146865.640625,116208.000000,43434.000000,175342.062500,375.200012,3533.810059,938.980042,1.144403
74351.640625,36914.000000,132001.656250,67089.000000,27736.000000,158521.218750,38.860001,1838.060059,458.850006,1.144403
67953.960938,31018.000000,143575.703125,55399.500000,23847.000000,152248.156250,127.300003,2739.800049,796.670044,1.144403
176387.921875,51121.000000,226125.437500,186384.000000,39396.000000,262143.000000,298.820007,7175.350098,1691.760010,1.144403
192851.328125,64209.000000,196836.968750,181341.000000,49816.000000,238565.218750,238.520004,8280.580078,2279.620117,1.144403
87428.523438,46885.000000,122207.875000,30682.500000,15008.000000,133982.437500,-30.820002,1134.489990,304.570007,1.144403
81636.203125,38588.000000,138647.000000,72886.500000,30423.000000,157009.171875,119.260002,1847.370117,506.730011,1.144403
148536.765625,63715.000000,152782.015625,65052.000000,27723.000000,153780.187500,62.980003,3731.980225,1126.510010,1.144403
71104.960938,38830.000000,120008.632812,66018.000000,27762.000000,155844.531250,46.900002,2661.330078,594.510010,1.144403
115096.601562,56409.000000,133719.296875,134860.500000,44700.000000,197723.000000,148.740005,3533.810059,1190.350098,1.146397
153440.359375,46509.000000,216213.375000,147190.500000,38762.000000,248859.109375,356.440002,6655.320312,1731.660034,1.146397
77708.718750,49205.000000,103500.023438,87237.000000,41057.000000,139249.421875,22148.861328,1034.739990,364.420013,1.146397
111433.164062,52638.000000,138737.890625,42324.000000,16841.000000,164701.953125,116.580002,1485.610107,533.330017,1.146397
29867.800781,9874.000000,198239.437500,8784.000000,3145.000000,183042.343750,44.220001,29.260000,37.240002,1.146397
65683.398438,37165.000000,115824.765625,37011.000000,17923.000000,135331.859375,131.320007,1580.040039,462.840027,1.146397
262143.000000,78998.000000,217471.375000,262143.000000,85565.000000,200780.734375,2532.600098,29190.841797,7841.680176,1.146397
80943.445312,39690.000000,133653.546875,80943.000000,39215.000000,135271.734375,139.360001,3241.210205,904.400024,1.146397
