"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
97688.359375,51297.000000,124804.656250,63535.500000,23906.000000,174176.468750,163.480011,2221.100098,586.530029,1.286098
193832.968750,51336.000000,247448.921875,226663.500000,41776.000000,262143.000000,347.059998,7517.160156,2061.500000,1.286098
74895.359375,38755.000000,126650.554688,62637.000000,28057.000000,146308.531250,108.540001,1621.270020,485.450012,1.286098
74325.882812,45474.000000,107116.617188,41458.500000,20254.000000,134147.562500,50.920002,1919.190063,517.369995,1.286098
181838.000000,75908.000000,156991.828125,106489.500000,50363.000000,138571.875000,170.180008,3011.120117,981.540039,1.286098
74160.281250,37696.000000,128930.601562,46368.000000,19383.000000,156775.187500,68.340004,1747.620117,339.150024,1.286098
77356.359375,46143.000000,109867.718750,52233.000000,18972.000000,180431.250000,57.620003,1971.060059,658.350037,1.286098
9112.600586,8974.000000,66548.179688,1716.000000,1677.000000,67060.101562,30.820002,134.330002,17.290001,1.286098
100575.320312,46220.000000,142607.203125,59353.500000,21713.000000,179145.734375,75.040001,1969.730103,621.110046,1.288245
103085.078125,52419.000000,128880.437500,75660.000000,31225.000000,158797.546875,24.120001,2871.469971,813.960022,1.288245
83864.445312,46452.000000,118318.703125,68346.000000,28143.000000,159155.875000,41.540001,2608.130127,715.540039,1.288245
84541.562500,39935.000000,138738.343750,81973.500000,42503.000000,126396.148438,96.480003,3036.390137,853.860046,1.288245
164231.046875,59098.000000,182122.015625,111897.000000,36839.000000,199063.000000,125.960007,4629.729980,1326.010010,1.288245
84738.445312,44174.000000,125716.914062,42294.000000,18874.000000,146857.031250,85.760002,1355.270020,430.920013,1.288245
66647.562500,38207.000000,114319.750000,28389.000000,14769.000000,125973.421875,111.220001,1778.210083,430.920013,1.288245
79553.320312,41149.000000,126700.679688,48156.000000,20656.000000,152786.203125,69.680000,1752.940063,594.510010,1.288245
128482.601562,42058.000000,200205.343750,53136.000000,17778.000000,195878.109375,166.160004,3367.560059,1098.580078,1.290392
74231.125000,36983.000000,131541.812500,64152.000000,25696.000000,163615.578125,65.660004,1537.480103,420.279999,1.290392
100958.039062,48739.000000,135751.375000,61071.000000,24848.000000,161073.296875,108.540001,1892.590088,738.150024,1.290392
188371.843750,60262.000000,204857.750000,174264.000000,48971.000000,233210.796875,288.100006,5119.169922,1508.220093,1.290392
90730.398438,52854.000000,112500.617188,68541.000000,33451.000000,134283.078125,60.300003,5487.580078,1537.480103,1.292539
66816.843750,38153.000000,114772.335938,47502.000000,19980.000000,155810.359375,96.480003,1945.790039,626.429993,1.292539
162105.843750,76751.000000,138418.640625,134820.000000,50689.000000,174309.281250,4052.160156,1486.940063,659.679993,1.292539
90969.601562,47649.000000,125118.757812,53295.000000,25610.000000,136381.937500,97.820000,3129.489990,696.920044,1.292539
109398.125000,53109.000000,134996.250000,99033.000000,47230.000000,137417.468750,222.440002,3472.630127,1103.900024,1.292539
89258.398438,45755.000000,127846.984375,64081.500000,26544.000000,158214.484375,201.000000,2367.400146,590.520020,1.292539
103344.523438,52268.000000,129578.070312,66886.500000,26621.000000,164662.250000,128.639999,2142.630127,613.130005,1.292539
126642.601562,53362.000000,155534.828125,100045.500000,33927.000000,193255.562500,259.959991,4415.600098,1150.450073,1.292539
97968.039062,52472.000000,122359.226562,60643.500000,24071.000000,165108.734375,129.979996,3978.030029,1198.330078,1.292539
145625.875000,49986.000000,190928.234375,156070.500000,35594.000000,262143.000000,1139.000000,8590.470703,2242.380127,1.294686
105219.484375,52087.000000,132387.421875,67317.000000,27896.000000,158147.671875,108.540001,3311.700195,994.840027,1.294686
16984.121094,16094.000000,69160.648438,1587.000000,1443.000000,72075.984375,45.560001,139.650009,9.310000,1.294686
73593.562500,35818.000000,134653.765625,65826.000000,25391.000000,169901.640625,178.220001,3142.790039,772.730042,1.294686
122741.804688,73510.000000,109427.390625,36699.000000,18655.000000,128925.523438,77.720001,1013.460022,433.580017,1.294686
74003.882812,38667.000000,125427.843750,55324.500000,27392.000000,132365.156250,79.060005,2016.280029,595.840027,1.294686
68600.718750,40481.000000,111059.929688,55962.000000,24855.000000,147556.859375,162.139999,1284.780029,364.420013,1.296833
77102.437500,44937.000000,112446.000000,31576.500000,13846.000000,149458.156250,111.220001,1310.050049,384.370026,1.296833
90269.484375,46840.000000,126300.187500,73305.000000,26522.000000,181137.046875,171.520004,1504.230103,528.010010,1.296833
79075.843750,44631.000000,116114.687500,68568.000000,30513.000000,147270.765625,158.120010,2298.239990,751.450012,1.296833
49815.242188,40854.000000,79911.195312,10950.000000,8589.000000,83550.960938,53.600002,558.600037,186.200012,1.296833
149531.281250,65812.000000,148904.203125,86485.500000,33895.000000,167219.765625,175.540009,2757.090088,839.230042,1.296833
134748.718750,45262.000000,195106.093750,82006.500000,31495.000000,170642.265625,219.760010,3625.580078,1086.609985,1.296833
120103.242188,50442.000000,156042.312500,88198.500000,35814.000000,161394.359375,160.800003,3001.810059,908.390015,1.296833
262143.000000,52416.000000,262143.000000,262143.000000,46547.000000,262143.000000,687.420044,10581.480469,2887.430176,1.298980
78901.039062,46404.000000,111431.304688,43629.000000,19603.000000,145858.812500,231.820007,2155.930176,614.460022,1.298980
63101.882812,32054.000000,129014.945312,54361.500000,20843.000000,170927.187500,139.360001,2233.070068,820.610046,1.298980
84335.484375,46153.000000,119754.078125,69508.500000,33249.000000,137005.906250,321.600006,2919.350098,966.910034,1.298980
59265.480469,40836.000000,95112.710938,27486.000000,12100.000000,148869.640625,76.380005,1278.130005,295.260010,1.298980
101272.679688,49742.000000,133428.625000,44574.000000,19759.000000,147841.578125,91.120003,2073.469971,525.350037,1.298980
203126.796875,47947.000000,262143.000000,201369.000000,35904.000000,262143.000000,438.180023,6377.350098,1727.670044,1.298980
24163.800781,21689.000000,73013.914062,3054.000000,1951.000000,102586.851562,12.060000,-93.100006,-9.310000,1.301127
62522.281250,35452.000000,115577.695312,67483.500000,32936.000000,134278.562500,32.160000,1389.850098,273.980011,1.301127
87934.523438,43316.000000,133042.687500,60981.000000,21783.000000,183466.515625,103.180000,2303.560059,599.830017,1.301127
179774.437500,51093.000000,230593.203125,141658.500000,32723.000000,262143.000000,258.619995,4641.700195,1220.940063,1.301127
72511.640625,41569.000000,114318.914062,45741.000000,19667.000000,152421.937500,57.620003,1602.650024,391.020020,1.301127
86935.398438,60586.000000,94038.203125,65905.500000,35528.000000,121571.242188,17383.820312,1762.250000,517.369995,1.301127
85273.882812,45107.000000,123894.492188,99424.500000,38929.000000,167378.687500,69.680000,1811.460083,559.929993,1.301127
69455.398438,36587.000000,124411.109375,39279.000000,20916.000000,123072.695312,54.940002,1399.160034,367.080017,1.301127
163988.156250,50599.000000,212398.031250,127324.500000,25956.000000,262143.000000,218.419998,3815.770020,1127.840088,1.303274
15252.680664,14172.000000,70533.421875,1428.000000,1501.000000,62348.707031,3786.840088,15.960001,-25.270000,1.303274
13892.000000,13300.000000,68453.101562,520.500000,463.000000,73674.921875,41.540001,51.870003,1.330000,1.303274
99204.523438,43224.000000,150413.375000,65095.500000,26021.000000,163948.312500,112.560005,2936.640137,889.770020,1.303274
131456.968750,68476.000000,125812.906250,30442.500000,15744.000000,126720.007812,107.200005,1392.510010,442.890015,1.303274
95236.562500,46211.000000,135063.593750,78951.000000,26598.000000,194530.890625,112.560005,2505.719971,663.670044,1.303274
7786.880371,7033.000000,72560.921875,906.000000,884.000000,67166.984375,46.900002,-198.170013,-1.330000,1.303274
