"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
93601.718750,46664.000000,131456.421875,53236.500000,23218.000000,150267.343750,190.279999,2929.989990,723.520020,1.186684
11571.759766,8921.000000,85009.171875,15211.500000,9257.000000,107691.578125,418.080017,200.830002,98.420006,1.186684
59492.722656,33704.000000,115681.078125,89281.500000,37460.000000,156197.343750,116.580002,2149.280029,678.300049,1.186684
88351.281250,42811.000000,135250.046875,93040.500000,34136.000000,178623.828125,39883.761719,2211.790039,599.830017,1.188815
203608.890625,65502.000000,203714.578125,119890.500000,25255.000000,262143.000000,217.080002,3779.860107,1145.130005,1.188815
73334.125000,39451.000000,121822.648438,63660.000000,27445.000000,152013.921875,125.960007,3097.570068,835.240051,1.188815
38413.679688,30307.000000,83065.921875,1869.000000,1233.000000,99340.460938,-69.680000,-106.400002,34.580002,1.190945
78959.000000,43867.000000,117962.414062,56736.000000,23587.000000,157639.843750,132.660004,1847.370117,529.340027,1.190945
108659.359375,53439.000000,133256.609375,62880.000000,23587.000000,174710.812500,131.320007,1929.830078,517.369995,1.193076
86559.125000,43143.000000,131486.906250,66951.000000,26861.000000,163348.390625,115.240005,2021.600098,607.809998,1.193076
84787.203125,42286.000000,131405.531250,51951.000000,23253.000000,146418.125000,76.380005,2932.650146,807.309998,1.193076
101660.000000,54899.000000,121357.218750,52258.500000,27505.000000,124516.023438,108.540001,2811.620117,816.620056,1.193076
80154.078125,44348.000000,118449.039062,58221.000000,23472.000000,162558.437500,104.520004,1690.430054,543.970032,1.195206
143405.000000,59571.000000,157764.515625,142717.500000,52498.000000,178161.718750,188.940002,4909.030273,1318.030029,1.195206
108312.523438,47760.000000,148625.828125,64779.000000,22059.000000,192454.625000,152.760010,2081.449951,585.200012,1.195206
211315.718750,85656.000000,161679.125000,102510.000000,42756.000000,157126.390625,142.040009,3646.860107,1170.400024,1.195206
80093.359375,42379.000000,123858.476562,39178.500000,16768.000000,153125.125000,64.320000,1271.479980,464.170013,1.195206
69404.804688,38968.000000,116724.320312,63238.500000,28434.000000,145755.031250,73.700005,1979.040039,558.600037,1.195206
114734.125000,66378.000000,113278.742188,26436.000000,15181.000000,114123.554688,160.800003,848.540039,227.430008,1.197337
95059.000000,46765.000000,133214.734375,60201.000000,25655.000000,153784.171875,163.480011,2384.690186,708.890015,1.197337
58757.640625,35210.000000,109364.968750,58200.000000,28046.000000,135997.828125,79.060005,1049.369995,389.690002,1.197337
92779.242188,48518.000000,125322.156250,74196.000000,32008.000000,151915.437500,549.400024,2310.209961,627.760010,1.197337
104065.804688,60688.000000,112379.000000,52602.000000,25174.000000,136939.890625,499.820007,1788.850098,602.489990,1.197337
90368.843750,41126.000000,144006.531250,56142.000000,21234.000000,173275.031250,75.040001,1808.800049,480.130005,1.197337
44707.402344,34372.000000,85242.187500,43261.500000,30787.000000,92090.351562,1208.680054,2640.050049,828.590027,1.197337
6583.520020,6647.000000,64910.125000,615.000000,745.000000,54100.187500,-80.400002,43.890003,-26.600000,1.197337
172230.437500,74477.000000,151554.109375,111753.000000,40231.000000,182044.812500,148.740005,4672.290039,1372.560059,1.197337
127036.359375,55167.000000,150913.671875,52113.000000,25110.000000,136012.656250,-10.720000,5793.479980,1502.900024,1.199467
75103.281250,43775.000000,112437.898438,47382.000000,19146.000000,162186.703125,60.300003,1270.150024,437.570007,1.199467
78605.718750,44186.000000,116586.812500,54249.000000,27070.000000,131335.890625,83.080002,3056.340088,933.660034,1.199467
66194.000000,39856.000000,108844.085938,34083.000000,16259.000000,137380.125000,84.420006,1069.320068,406.980011,1.199467
84749.484375,43142.000000,128740.953125,61600.500000,25321.000000,159434.875000,61.640003,2106.719971,715.540039,1.199467
86905.039062,47735.000000,119313.062500,52855.500000,25206.000000,137425.125000,201.000000,1927.170044,595.840027,1.201598
137951.250000,54939.000000,164560.218750,101779.500000,41447.000000,160933.765625,125.960007,5531.470215,1407.140015,1.201598
101126.398438,59777.000000,110869.062500,49473.000000,23170.000000,139933.640625,111.220001,1580.040039,446.880005,1.201598
68414.882812,40624.000000,110369.187500,22579.500000,15695.000000,94282.898438,79.060005,2519.020020,583.869995,1.201598
84964.757812,43359.000000,128422.015625,112891.500000,43005.000000,172037.156250,105.860001,3634.890137,970.900024,1.201598
139469.250000,60498.000000,151083.625000,72924.000000,30711.000000,155616.781250,100.500000,4366.390137,1290.100098,1.201598
9508.200195,8251.000000,75521.687500,6913.500000,5508.000000,82259.109375,541.359985,219.450012,58.520000,1.201598
117702.960938,64017.000000,120495.828125,49285.500000,26067.000000,123910.484375,61.640003,2061.500000,590.520020,1.201598
163709.406250,55991.000000,191617.578125,134899.500000,26223.000000,262143.000000,313.559998,4444.860352,1212.960083,1.201598
79983.882812,49310.000000,106303.453125,47763.000000,23042.000000,135847.406250,120.600006,1947.120117,551.950012,1.203728
114074.484375,64463.000000,115973.281250,61509.000000,31636.000000,127419.828125,62.980003,1218.280029,409.640015,1.203728
75916.562500,36534.000000,136181.859375,78183.000000,29455.000000,173953.515625,117.920006,2017.610107,473.480011,1.203728
87297.882812,43859.000000,130444.250000,81123.000000,31770.000000,167342.671875,135.339996,4424.910156,1302.070068,1.203728
119826.320312,49125.000000,159856.250000,65727.000000,23721.000000,181589.500000,148.740005,2616.110107,836.570007,1.203728
158020.125000,67791.000000,152763.750000,101326.500000,38256.000000,173581.515625,467.660004,2558.920166,766.080017,1.203728
95167.562500,45373.000000,137458.437500,64498.500000,24875.000000,169928.593750,79.060005,1719.690063,609.140015,1.203728
148339.875000,65206.000000,149090.609375,111459.000000,32480.000000,224894.593750,194.300003,4033.890137,1097.250000,1.203728
212975.406250,70782.000000,197190.765625,97668.000000,43150.000000,148337.671875,217.080002,4165.560059,1153.109985,1.203728
121259.679688,58497.000000,135850.968750,76059.000000,31659.000000,157446.625000,209.040009,7522.480469,2255.680176,1.203728
140875.921875,76758.000000,120279.898438,47383.500000,23926.000000,129788.718750,115.240005,1941.800049,692.929993,1.203728
152259.078125,49782.000000,200442.953125,131826.000000,34878.000000,247701.953125,242.540009,6535.620117,1646.540039,1.205859
82533.203125,48364.000000,111837.226562,52021.500000,29546.000000,115388.914062,5397.520020,1626.590088,574.559998,1.205859
73630.359375,40239.000000,119919.468750,63556.500000,25577.000000,162850.953125,121.940002,2565.570068,780.710022,1.207989
165628.515625,68286.000000,158958.375000,115150.500000,33715.000000,223832.203125,180.900009,4802.630371,1114.540039,1.207989
105831.281250,42222.000000,164268.843750,45022.500000,16783.000000,175808.531250,58.960003,1746.290039,599.830017,1.207989
66075.320312,36717.000000,117937.531250,67173.000000,25737.000000,171047.515625,182.240005,2364.739990,630.420044,1.207989
70549.281250,33972.000000,136097.906250,56754.000000,24490.000000,151875.453125,87.099998,1862.000000,555.940002,1.207989
126633.398438,64828.000000,128016.390625,92188.500000,37978.000000,159083.296875,129.979996,3777.200195,1126.510010,1.210120
118127.085938,54734.000000,141440.000000,140499.000000,46571.000000,197714.093750,215.740005,4150.930176,1065.330078,1.210120
140410.406250,64634.000000,142369.906250,175170.000000,47132.000000,243570.000000,237.180008,4984.840332,1469.650024,1.210120
108942.718750,51903.000000,137557.937500,66711.000000,31481.000000,138876.546875,85.760002,3399.480225,1062.670044,1.210120
149706.078125,61475.000000,159595.562500,88218.000000,45290.000000,127654.117188,121.940002,8269.940430,2179.870117,1.210120
94258.601562,45936.000000,134476.921875,83568.000000,30608.000000,178930.750000,129.979996,1764.910034,493.430023,1.210120
58195.519531,36989.000000,103109.085938,38103.000000,15343.000000,162752.937500,121.940002,1296.750000,395.010010,1.210120
80688.601562,43718.000000,120957.242188,68043.000000,29218.000000,152620.500000,139.360001,2804.969971,782.040039,1.210120
6375.600098,6201.000000,67381.281250,855.000000,575.000000,97449.187500,4.020000,50.540001,-11.970000,1.212250
85168.078125,44081.000000,126620.890625,114702.000000,46259.000000,162500.500000,243.880005,2988.510010,851.200012,1.212250
83525.882812,40686.000000,134541.437500,97815.000000,34325.000000,186756.125000,67.000000,3060.330078,863.170044,1.212250
108571.039062,62795.000000,113310.156250,97335.000000,37461.000000,170282.328125,10646.299805,1787.520020,601.160034,1.212250
93951.320312,48225.000000,127676.390625,62649.000000,27672.000000,148372.546875,104.520004,3182.690186,808.640015,1.212250
162105.843750,53232.000000,199574.859375,144328.500000,30299.000000,262143.000000,300.160004,4311.860352,1066.660034,1.212250
8335.200195,7460.000000,73224.625000,7498.500000,6498.000000,75626.609375,344.380005,113.050003,53.200001,1.212250
81238.757812,42503.000000,125263.234375,53442.000000,26633.000000,131505.093750,158.120010,2851.520020,807.309998,1.212250
