"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
56233.160156,30060.000000,122598.015625,58981.500000,34449.000000,112206.781250,67.000000,1750.280029,472.150024,0.790876
262143.000000,63672.000000,262143.000000,262143.000000,64045.000000,262143.000000,561.460022,7288.400391,1858.010010,0.790876
116508.804688,55731.000000,137006.718750,30939.000000,12380.000000,163781.765625,115.240005,3190.670166,884.450012,0.792317
204893.203125,56697.000000,236835.843750,190879.500000,41702.000000,262143.000000,430.140015,5644.520020,1671.810059,0.792317
134780.921875,64277.000000,137420.890625,60930.000000,23728.000000,168286.765625,205.020004,2218.440186,686.280029,0.793757
262143.000000,59811.000000,262143.000000,153187.500000,30237.000000,262143.000000,558.780029,8243.339844,2211.790039,0.793757
233024.046875,76335.000000,200058.500000,82899.000000,26989.000000,201299.375000,207.700012,2701.229980,747.460022,0.795198
81348.242188,40150.000000,132783.031250,65361.000000,21421.000000,199967.250000,136.680008,2548.280029,772.730042,0.795198
222542.484375,63842.000000,228447.484375,201921.000000,47893.000000,262143.000000,613.720032,9423.050781,2956.590088,0.795198
92098.445312,48491.000000,124471.835938,46804.500000,24596.000000,124710.507812,113.900002,1792.840088,555.940002,0.795198
63334.640625,47879.000000,86691.437500,8974.500000,7144.000000,82328.218750,29.480001,462.840027,143.639999,0.795198
105259.039062,56989.000000,121045.406250,38575.500000,17137.000000,147521.968750,147.400009,2186.520020,493.430023,0.796639
259285.437500,62178.000000,262143.000000,126624.000000,19661.000000,262143.000000,544.040039,4927.650391,1661.170044,0.796639
194754.796875,54181.000000,235570.593750,112372.500000,25370.000000,262143.000000,351.080017,3356.920166,1053.359985,0.796639
80915.843750,41715.000000,127122.156250,60946.500000,25249.000000,158192.000000,97.820000,1807.470093,462.840027,0.796639
68839.000000,45497.000000,99158.906250,64392.000000,35071.000000,120327.171875,34038.679688,512.049988,139.650009,0.798079
154329.078125,54033.000000,187183.953125,52053.000000,15837.000000,215403.515625,119.260002,2496.410156,771.400024,0.798079
102555.164062,55914.000000,120203.445312,110896.500000,40834.000000,177981.906250,203.680008,2769.060059,945.630005,0.798079
262143.000000,116629.000000,147303.015625,262143.000000,72817.000000,235931.234375,40284.421875,20281.169922,5825.400391,0.799520
156248.203125,74210.000000,137985.218750,60939.000000,18639.000000,214265.687500,139.360001,3598.980225,903.070007,0.799520
99579.882812,52420.000000,124495.742188,39913.500000,17747.000000,147392.312500,156.779999,1682.450073,534.660034,0.799520
104811.921875,55786.000000,123130.421875,48069.000000,21307.000000,147850.484375,163.480011,1453.690063,388.360016,0.799520
126865.242188,51063.000000,162823.203125,75904.500000,24868.000000,200035.281250,103.180000,2261.000000,646.380005,0.799520
186116.921875,61715.000000,197640.093750,146586.000000,32623.000000,262143.000000,53286.441406,3318.350098,869.820007,0.799520
200436.718750,65789.000000,199665.921875,46015.500000,12459.000000,242047.656250,184.919998,2677.290039,795.340027,0.800960
226996.203125,67439.000000,220590.812500,211288.500000,50228.000000,262143.000000,515.900024,7660.800293,2088.100098,0.802401
262143.000000,76890.000000,223433.531250,262143.000000,53773.000000,262143.000000,1894.760010,9146.410156,2499.070068,0.802401
112578.562500,52649.000000,140134.640625,106420.500000,40379.000000,172722.812500,109.880005,3419.430176,899.080017,0.802401
96806.078125,48569.000000,130624.132812,83274.000000,31808.000000,171574.609375,116.580002,1947.120117,538.650024,0.802401
262143.000000,68912.000000,249300.625000,262143.000000,144983.000000,118495.296875,2536.620117,37972.832031,11386.129883,0.802401
