"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
119491.445312,48603.000000,161121.578125,94204.500000,26647.000000,231687.843750,210.380005,3101.560059,986.860046,1.112186
7519.160156,5626.000000,87589.000000,37251.000000,22423.000000,108873.992188,159.460007,478.800018,113.050003,1.114120
14969.320312,11214.000000,87482.554688,84406.500000,55634.000000,99429.570312,546.720032,665.000000,356.440002,1.114120
190780.406250,62654.000000,199556.046875,171628.500000,40850.000000,262143.000000,301.500000,9925.790039,3809.120117,1.114120
105323.445312,57876.000000,119263.210938,51453.000000,29933.000000,112652.382812,92.459999,3652.180176,2263.660156,1.114120
227713.796875,56426.000000,262143.000000,169768.500000,37915.000000,262143.000000,249.240005,8324.470703,2924.670166,1.114120
71147.281250,35758.000000,130396.226562,77175.000000,26328.000000,192105.015625,129.979996,2959.250000,1384.530029,1.114120
97572.445312,46544.000000,137386.296875,77248.500000,31342.000000,161526.312500,79.060005,1899.240112,695.590027,1.114120
139865.765625,47509.000000,192936.984375,175195.500000,37946.000000,262143.000000,178.220001,4298.560059,1415.119995,1.116054
76866.921875,40270.000000,125094.375000,67906.500000,21632.000000,205728.546875,127.300003,2090.760010,599.830017,1.116054
76259.718750,38613.000000,129431.976562,45511.500000,18454.000000,161625.750000,61.640003,3165.400146,1963.080078,1.116054
148651.765625,35040.000000,262143.000000,137490.000000,24711.000000,262143.000000,288.100006,5730.970215,1796.830078,1.116054
80998.640625,42505.000000,124887.125000,111819.000000,45229.000000,162023.703125,251.920013,8316.490234,4895.729980,1.116054
155503.000000,56313.000000,180971.453125,151158.000000,29518.000000,262143.000000,140.699997,6345.430176,2452.520020,1.116054
6597.320312,6387.000000,67694.062500,441.000000,543.000000,53225.371094,20.100000,50.540001,90.440002,1.116054
28235.720703,23125.000000,80019.726562,20703.000000,14753.000000,91967.187500,1063.960083,384.370026,218.120010,1.117988
212101.406250,75164.000000,184932.671875,241950.000000,73770.000000,214944.218750,3756.020020,11585.630859,4623.080078,1.117988
68021.125000,37366.000000,119301.835938,44937.000000,20300.000000,145073.453125,79.060005,3799.810059,1957.760010,1.117988
72441.718750,45393.000000,104587.507812,58824.000000,28115.000000,137118.625000,167.500000,1725.010010,629.090027,1.117988
83447.679688,46588.000000,117387.031250,85353.000000,31893.000000,175389.406250,95.139999,3722.670166,1766.240112,1.117988
17954.720703,9278.000000,126824.804688,130780.500000,47269.000000,181320.328125,518.580017,1185.030029,543.970032,1.119923
72236.562500,39818.000000,118893.343750,40995.000000,18578.000000,144614.515625,88.440002,1384.530029,363.090027,1.119923
81732.804688,46749.000000,114578.734375,76843.500000,38638.000000,130338.414062,48.240002,8752.730469,2360.750000,1.119923
7971.800293,7358.000000,71002.976562,472.500000,694.000000,44619.250000,-37.520000,-25.270000,1.330000,1.119923
221891.125000,72230.000000,201327.093750,256038.000000,79282.000000,211645.859375,364.480011,14062.090820,4681.600098,1.121857
194989.406250,52114.000000,245209.078125,244782.000000,46617.000000,262143.000000,60253.101562,26647.880859,24341.660156,1.121857
85514.921875,50549.000000,110868.781250,103876.500000,38125.000000,178561.328125,97.820000,2918.020020,1166.410034,1.121857
21349.519531,19168.000000,72994.695312,1737.000000,1466.000000,77650.773438,-16.080000,35.910000,-6.650000,1.123791
88705.484375,45812.000000,126896.937500,86484.000000,30545.000000,185556.250000,136.680008,4126.990234,1812.790039,1.123791
76268.921875,43867.000000,113943.515625,24798.000000,13136.000000,123718.156250,50.920002,992.180054,497.420013,1.123791
11408.919922,6892.000000,108487.382812,9268.500000,4724.000000,128581.796875,730.299988,214.130005,58.520000,1.123791
83500.125000,46277.000000,118250.187500,49512.000000,19808.000000,163813.531250,99.160004,1709.050049,944.300049,1.123791
13067.680664,5365.000000,159627.875000,30958.500000,8760.000000,231609.171875,2024.739990,6602.120117,7479.920410,1.125725
77801.640625,48741.000000,104610.250000,59361.000000,26543.000000,146565.281250,111.220001,2100.070068,549.290039,1.125725
16215.919922,11315.000000,93921.921875,2332.500000,1372.000000,111415.976562,1.340000,82.459999,61.180000,1.127660
94704.804688,53413.000000,116199.687500,40975.500000,17533.000000,153160.921875,56.280003,2854.180176,1654.520020,1.127660
66570.281250,42298.000000,103143.179688,58324.500000,26190.000000,145947.109375,54.940002,4229.399902,1018.780029,1.129594
57160.519531,34084.000000,109907.046875,31954.500000,15129.000000,138420.921875,37.520000,1541.470093,876.470032,1.129594
