"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","V450-A","V500-A","Time"
87060.523438,55223.000000,103319.250000,55273.500000,28588.000000,126710.664062,376.540009,1207.640015,377.720001,1.006038
67227.164062,37112.000000,118716.296875,57778.500000,26580.000000,142459.437500,134.000000,2933.979980,1022.770020,1.006038
61433.921875,32570.000000,123614.789062,58999.500000,30842.000000,125367.718750,91.120003,2983.190186,1036.070068,1.008139
52371.000000,31524.000000,108875.328125,29014.500000,14707.000000,129291.789062,76.380005,8912.330078,8781.990234,1.008139
65652.125000,42483.000000,101277.632812,52624.500000,24591.000000,140246.406250,87.099998,2050.860107,559.929993,1.008139
24872.201172,16371.000000,99567.812500,114867.000000,59749.000000,125992.460938,791.940002,1022.770020,505.400024,1.008139
5767.479980,5811.000000,65045.187500,967.500000,930.000000,68178.585938,-10.720000,27.930000,-5.320000,1.008139
94900.765625,49483.000000,125687.937500,87562.500000,31033.000000,184915.937500,195.639999,9393.790039,8473.430664,1.008139
64411.042969,33221.000000,127065.476562,51564.000000,23937.000000,141174.687500,29.480001,1864.660034,724.850037,1.008139
12298.560547,8760.000000,92008.960938,70492.500000,39434.000000,117152.625000,241.200012,579.880005,220.780014,1.008139
129811.085938,60605.000000,140372.890625,67329.000000,32323.000000,136511.875000,115.240005,5294.729980,2062.830078,1.008139
89650.320312,45834.000000,128187.007812,42721.500000,18222.000000,153649.234375,186.260010,3448.690186,3156.090088,1.010239
73989.164062,37094.000000,130720.703125,63162.000000,28237.000000,146594.359375,134.000000,5641.860352,2415.280029,1.010239
126305.882812,68268.000000,121251.289062,74977.500000,27660.000000,177647.343750,10472.100586,2339.469971,747.460022,1.010239
72376.398438,39609.000000,119752.062500,59274.000000,24820.000000,156510.109375,92.459999,3903.550049,1407.140015,1.010239
11250.680664,10609.000000,69499.914062,2403.000000,1841.000000,85542.109375,22.780001,71.820000,26.600000,1.010239
85013.523438,55629.000000,100153.632812,77152.500000,32103.000000,157501.375000,17800.560547,1671.810059,605.150024,1.010239
78972.804688,43169.000000,119890.703125,53919.000000,26901.000000,131357.046875,84.420006,3379.530029,1037.400024,1.012339
93259.484375,48974.000000,124797.937500,43941.000000,20870.000000,137983.578125,71.020004,2648.030029,1070.650024,1.012339
92061.640625,52837.000000,114188.007812,74263.500000,31348.000000,155254.968750,142.040009,1848.700073,545.299988,1.012339
71795.882812,41932.000000,112210.601562,44680.500000,19768.000000,148127.343750,50.920002,2166.570068,738.150024,1.012339
104621.484375,44365.000000,154546.906250,51727.500000,15017.000000,225745.062500,81.740005,3513.860107,1897.910034,1.012339
62234.320312,39367.000000,103604.250000,45994.500000,19327.000000,155962.937500,81.740005,1995.000122,428.260010,1.012339
64139.640625,37841.000000,111082.046875,56671.500000,26014.000000,142770.203125,89.779999,4992.820312,3298.400146,1.014439
68648.562500,38022.000000,118324.968750,40218.000000,18294.000000,144076.031250,103.180000,1822.100098,529.340027,1.014439
67673.359375,39342.000000,112730.460938,29872.500000,13302.000000,147175.187500,112.560005,1920.520020,623.770020,1.014439
143962.515625,65913.000000,143139.109375,57193.500000,24079.000000,155664.000000,142.040009,4968.880371,1953.770020,1.014439
59437.519531,35042.000000,111160.812500,43681.500000,19515.000000,146692.828125,67.000000,2241.050049,960.260010,1.014439
81460.484375,42727.000000,124946.625000,32157.000000,14651.000000,143842.828125,68.340004,1713.040039,637.070007,1.014439
13529.520508,10167.000000,87210.648438,44755.500000,30422.000000,96413.671875,506.520020,484.120026,283.290009,1.014439
77740.921875,40999.000000,124267.164062,29635.500000,14281.000000,135998.343750,34.840000,2573.550049,833.910034,1.014439
79460.398438,36288.000000,143505.187500,41167.500000,17733.000000,152143.093750,68.340004,5486.250000,3972.710205,1.014439
6194.360352,6281.000000,64632.003906,1414.500000,1203.000000,77057.914062,40.200001,-135.660004,-15.960001,1.014439
86093.601562,48245.000000,116949.539062,45478.500000,17784.000000,167593.281250,75.040001,3408.790039,903.070007,1.016540
53843.000000,30984.000000,113886.359375,72492.000000,33788.000000,140607.203125,75.040001,3996.650146,1175.720093,1.016540
63500.242188,33295.000000,124990.296875,38883.000000,17848.000000,142774.328125,190.279999,4275.950195,2183.860107,1.016540
86101.882812,47537.000000,118702.750000,34596.000000,15186.000000,149300.906250,128.639999,1846.040039,1423.100098,1.016540
262143.000000,57641.000000,262143.000000,163984.500000,28621.000000,262143.000000,332.320007,9802.100586,3888.920166,1.016540
101094.203125,52188.000000,126950.828125,25756.500000,11766.000000,143462.343750,97.820000,1655.850098,409.640015,1.016540
70567.679688,41981.000000,110162.296875,37410.000000,17615.000000,139182.625000,103.180000,2953.930176,880.460022,1.016540
49282.562500,33318.000000,96938.054688,67035.000000,31905.000000,137696.468750,79.060005,4531.310059,1931.160034,1.016540
71666.164062,39199.000000,119817.179688,20556.000000,10204.000000,132022.546875,34.840000,1911.210083,642.390015,1.018640
83768.757812,42559.000000,128994.320312,33570.000000,16199.000000,135813.546875,64.320000,2463.160156,911.050049,1.018640
10596.560547,5992.000000,115897.226562,45985.500000,20773.000000,145078.031250,175.540009,414.960022,230.090012,1.018640
54454.800781,28735.000000,124195.226562,44337.000000,20502.000000,141726.171875,42.880001,3605.630127,2890.090088,1.018640
119627.601562,54066.000000,145006.375000,42555.000000,20183.000000,138179.875000,109.880005,4137.630371,1596.000000,1.018640
124435.523438,59258.000000,137618.671875,62730.000000,22166.000000,185467.546875,147.400009,2323.510010,993.510010,1.018640
64733.042969,36669.000000,115692.953125,39696.000000,14025.000000,185491.406250,93.800003,1372.560059,380.380005,1.020740
65537.125000,40841.000000,105164.945312,36735.000000,16776.000000,143506.500000,80.400002,1234.239990,384.370026,1.020740
48140.839844,30568.000000,103211.132812,71346.000000,35206.000000,132810.656250,79.060005,7332.290039,8680.910156,1.020740
111773.562500,56211.000000,130315.992188,65395.500000,22379.000000,191508.093750,317.580017,11161.360352,10851.470703,1.022841
141441.718750,45903.000000,201937.218750,98205.000000,29545.000000,217835.937500,186.260010,4531.310059,1804.810059,1.022841
79225.804688,39882.000000,130187.617188,57337.500000,27231.000000,137992.390625,195.639999,1470.980103,537.320007,1.022841
96218.203125,47780.000000,131974.796875,64746.000000,24097.000000,176088.046875,112.560005,3047.030029,833.910034,1.022841
60357.519531,32936.000000,120099.296875,56703.000000,29255.000000,127024.023438,108.540001,3062.989990,1689.100098,1.022841
58050.160156,34110.000000,111532.546875,30934.500000,13629.000000,148750.718750,-6.700000,1311.380005,424.270020,1.022841
68172.921875,34371.000000,129986.921875,57295.500000,30940.000000,121361.281250,4.020000,2626.750000,1093.260010,1.024941
116286.164062,48562.000000,156931.968750,111826.500000,35208.000000,208153.312500,95.139999,3267.810059,1286.109985,1.024941
69144.437500,39401.000000,115008.507812,57168.000000,21840.000000,171545.890625,129.979996,1405.810059,462.840027,1.024941
92004.601562,45368.000000,132904.562500,63967.500000,25614.000000,163667.281250,49.580002,4044.530029,2122.680176,1.027041
62182.800781,37055.000000,109977.390625,53896.500000,23774.000000,148572.437500,136.680008,1799.490112,577.220032,1.027041
115828.000000,46315.000000,163897.328125,62143.500000,26407.000000,154225.640625,80.400002,4389.000000,2042.880127,1.027041
148090.562500,74276.000000,130664.859375,79404.000000,36359.000000,143123.312500,95.139999,5949.090332,4617.760254,1.027041
203856.359375,58677.000000,227685.984375,222651.000000,42717.000000,262143.000000,241.200012,9306.010742,5584.670410,1.027041
67559.281250,38347.000000,115460.539062,65677.500000,25211.000000,170728.671875,142.040009,4101.720215,2650.690186,1.029142
74886.164062,38672.000000,126906.796875,36603.000000,15138.000000,158463.093750,139.360001,1932.490112,555.940002,1.029142
72198.843750,44923.000000,105327.414062,82152.000000,30145.000000,178600.546875,115.240005,3984.680176,1218.280029,1.029142
105150.484375,50798.000000,135657.750000,172720.500000,52652.000000,214985.390625,27147.060547,3636.220215,1294.090088,1.029142
86951.960938,42670.000000,133547.781250,45133.500000,17373.000000,170256.671875,136.680008,1578.710083,646.380005,1.029142
135061.515625,64357.000000,137535.812500,72036.000000,34512.000000,136791.593750,2239.140137,3118.850098,1489.600098,1.029142
95828.125000,50119.000000,125305.625000,27394.500000,12945.000000,138688.750000,79.060005,2231.739990,696.920044,1.029142
120122.562500,55200.000000,142615.093750,82398.000000,23487.000000,229915.937500,162.139999,3888.920166,1250.200073,1.031242
88725.718750,43081.000000,134972.015625,56755.500000,29256.000000,127137.289062,29.480001,2987.180176,1973.720093,1.031242
9796.160156,9637.000000,66618.367188,2400.000000,1588.000000,99046.851562,5.360000,6.650000,25.270000,1.031242
73804.242188,40961.000000,118083.906250,50952.000000,22753.000000,146758.250000,88.440002,3575.040039,1941.800049,1.031242
56897.402344,33949.000000,109836.171875,33492.000000,15639.000000,140349.875000,80.400002,1195.670044,420.279999,1.031242
71363.484375,39361.000000,118820.085938,63274.500000,27455.000000,151038.328125,85.760002,2605.469971,1764.910034,1.031242
120782.203125,36209.000000,218608.156250,89166.000000,25930.000000,225359.937500,34.840000,3515.190186,1357.930054,1.033342
73671.757812,37896.000000,127405.328125,33805.500000,15683.000000,141266.156250,36.180000,1703.730103,508.060028,1.033342
84586.640625,45979.000000,120565.257812,38538.000000,17656.000000,143046.359375,30.820002,4230.729980,1443.050049,1.033342
69975.203125,38489.000000,119148.195312,52341.000000,21222.000000,161635.093750,68.340004,2515.030029,1024.099976,1.033342
109250.000000,57878.000000,123705.179688,28575.000000,12807.000000,146224.031250,99.160004,1287.440063,618.450012,1.033342
120098.640625,40624.000000,193747.156250,125313.000000,34524.000000,237878.375000,222.440002,4799.970215,1437.730103,1.033342
79301.242188,41998.000000,123746.039062,51178.500000,22450.000000,149400.187500,77.720001,2580.200195,1082.619995,1.033342
67637.484375,35881.000000,123538.648438,54291.000000,21108.000000,168562.406250,62.980003,2165.239990,1113.210083,1.033342
154468.921875,55564.000000,182191.281250,101848.500000,25398.000000,262143.000000,324.279999,6229.720215,2871.469971,1.033342
81501.882812,37389.000000,142857.734375,43441.500000,16476.000000,172795.718750,72.360001,2078.790039,726.180054,1.033342
105618.765625,52067.000000,132940.859375,87624.000000,37052.000000,154985.609375,139.360001,4315.850098,1743.630005,1.035442
4833.680176,5103.000000,62077.226562,3565.500000,3468.000000,67378.492188,69.680000,268.660004,85.120003,1.035442
63494.722656,36984.000000,112513.257812,43831.500000,19931.000000,144124.281250,91.120003,2081.449951,847.210022,1.035442
78660.000000,40944.000000,125905.179688,46464.000000,21355.000000,142592.593750,72.360001,3068.310059,977.550049,1.037543
92177.562500,57621.000000,104839.367188,51211.500000,24613.000000,136358.718750,81.740005,2268.979980,829.920044,1.037543
98763.843750,45120.000000,143452.734375,82614.000000,33975.000000,159358.093750,57.620003,3974.040039,1911.210083,1.037543
115368.921875,54637.000000,138382.765625,89799.000000,33493.000000,175710.359375,135.339996,4914.350098,1625.260010,1.037543
82616.000000,42939.000000,126093.351562,37366.500000,18410.000000,133017.421875,100.500000,2222.430176,670.320007,1.037543
